Area Name,Republican Party of Florida AIAN,Republican Party of Florida Asian,"Republican Party of Florida Black, Not Hispanic",Republican Party of Florida Hispanic,"Republican Party of Florida White, Not Hispanic",Republican Party of Florida Other,Republican Party of Florida Multi-Racial,Republican Party of Florida Unknown,Florida Democratic Party AIAN,Florida Democratic Party Asian,"Florida Democratic Party Black, Not Hispanic",Florida Democratic Party Hispanic,"Florida Democratic Party White, Not Hispanic",Florida Democratic Party Other,Florida Democratic Party Multi-Racial,Florida Democratic Party Unknown,Green Party of Florida AIAN,Green Party of Florida Asian,"Green Party of Florida Black, Not Hispanic",Green Party of Florida Hispanic,"Green Party of Florida White, Not Hispanic",Green Party of Florida Other,Green Party of Florida Multi-Racial,Green Party of Florida Unknown,Independent Party of Florida AIAN,Independent Party of Florida Asian,"Independent Party of Florida Black, Not Hispanic",Independent Party of Florida Hispanic,"Independent Party of Florida White, Not Hispanic",Independent Party of Florida Other,Independent Party of Florida Multi-Racial,Independent Party of Florida Unknown,Libertarian Party of Florida AIAN,Libertarian Party of Florida Asian,"Libertarian Party of Florida Black, Not Hispanic",Libertarian Party of Florida Hispanic,"Libertarian Party of Florida White, Not Hispanic",Libertarian Party of Florida Other,Libertarian Party of Florida Multi-Racial,Libertarian Party of Florida Unknown,No Party Affiliation AIAN,No Party Affiliation Asian,"No Party Affiliation Black, Not Hispanic",No Party Affiliation Hispanic,"No Party Affiliation White, Not Hispanic",No Party Affiliation Other,No Party Affiliation Multi-Racial,No Party Affiliation Unknown,2020 vote by mail Republican,2020 vote by mail Democrat,2020 vote by mail Other,2020 vote by mail NPA,Total 2020 vote by mail,2018 Voter registration,2018 Voter turnout,2018 Percent Turnout,2016 General Voter registration,2016 General Voter turnout,2016 General Percent Turnout
Lafayette ,2,7,14,51,2152,3,6,1,5,2,219,61,1558,6,4,1,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,1,0,0,0,1,6,0,0,0,2,1,10,32,266,3,5,4,152,76,0,0,228,4356,2854,0.66,4465,3439,0.77
Lake ,315,973,986,5058,98046,972,315,717,223,1284,15821,10096,43367,1646,548,998,2,0,5,4,74,0,0,2,6,14,97,97,1019,34,6,29,0,6,12,23,497,7,4,12,235,1467,3591,9239,43729,1493,533,1625,6660,6479,9,135,13283,236078,156339,0.66,222432,173231,0.78
Lee ,514,1508,1274,10713,181397,1062,441,2497,309,1518,19079,20435,82904,1460,816,2830,3,2,4,17,152,7,3,5,9,36,153,288,2911,51,0,69,2,6,16,43,797,17,10,16,363,2408,6566,20173,100815,1702,814,4409,48328,30313,37,1311,79989,446273,292894,0.66,423938,332836,0.79
Leon ,183,729,1339,1974,51450,642,248,602,344,1847,52004,4848,51531,1803,1294,1920,1,1,14,2,85,2,5,4,5,25,226,66,955,25,9,29,3,5,32,32,465,15,12,9,160,1465,8404,2699,22984,1217,680,2950,6174,11033,0,0,17207,213195,141111,0.66,206335,155055,0.75
Levy ,38,52,102,293,13302,121,25,32,25,39,1936,404,6205,172,31,39,0,0,0,0,3,0,0,0,1,0,6,11,217,3,1,3,0,0,12,8,257,2,1,0,25,45,223,372,4359,128,22,55,2202,1053,0,0,3255,27859,17208,0.62,26833,19603,0.73
Liberty ,12,4,14,14,1246,5,1,0,17,6,363,24,2279,7,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,2,27,15,364,5,4,10,91,99,0,0,190,4374,2738,0.63,4497,3349,0.75
Madison ,23,12,93,56,3730,30,9,54,19,11,3583,69,2483,109,16,68,0,0,0,0,1,0,0,0,0,0,5,2,20,0,0,0,0,0,1,1,16,0,1,0,6,4,191,43,867,25,7,76,244,348,0,31,623,11840,7676,0.65,11567,8601,0.74
Manatee ,333,1253,656,3590,102171,812,249,1016,247,1191,13305,7759,53807,1063,535,1346,0,3,2,8,85,1,3,1,3,34,66,92,1793,33,0,44,2,6,4,21,529,13,5,22,222,1648,2816,6589,48756,1126,525,2342,24018,18290,6,127,42441,245088,164885,0.67,231076,182178,0.79
Marion ,382,910,1101,5170,103433,907,242,567,292,962,20380,10375,47005,1347,443,822,1,2,7,8,81,3,4,3,8,18,81,88,1258,25,1,22,5,3,13,37,542,10,4,10,223,884,3399,6843,40447,986,382,1248,15536,10356,6,214,26112,243088,156307,0.64,230841,177168,0.77
Martin ,117,288,309,1523,52312,355,84,248,68,256,2746,2040,23099,353,117,278,0,1,0,0,43,2,1,2,3,8,22,50,1094,12,1,17,0,1,4,12,184,1,1,4,67,391,645,2000,22048,424,130,559,8072,5784,1,13,13870,114132,78577,0.69,110935,87535,0.79
Miami_Dade ,397,2657,6799,283539,78130,2637,949,10911,1337,6886,202450,267220,102153,6378,4178,22774,4,8,54,259,190,12,14,40,10,70,788,5692,2150,200,26,214,4,16,82,948,601,26,19,89,682,7610,37274,292195,74112,5746,3257,38012,54286,60742,3,120,115151,1428856,813353,0.57,1379230,998605,0.72
Monroe ,83,135,79,2305,18367,97,56,203,82,156,1298,2090,13594,137,109,310,0,0,1,0,28,0,1,1,1,2,20,47,525,5,0,12,0,0,0,8,160,0,1,4,58,175,382,1710,10682,133,93,409,3477,3151,43,709,7380,53869,36587,0.68,54749,43355,0.79
Nassau ,128,216,194,473,37658,344,53,211,36,92,2886,398,10689,277,56,140,0,0,0,1,17,0,0,1,1,5,30,9,572,5,0,5,2,2,4,4,245,7,2,5,43,191,516,453,11369,222,69,331,4935,2127,0,0,7062,66798,43809,0.66,61292,47262,0.77
Okaloosa ,429,1777,936,1991,72927,970,352,633,123,602,7116,1514,16490,505,313,493,0,2,2,4,38,0,2,1,6,27,101,61,1115,41,3,21,2,5,16,28,519,18,8,15,164,1171,2400,1941,22352,699,468,1059,5172,2839,2,21,8034,135563,84724,0.63,135678,102675,0.76
Okeechobee ,41,39,52,520,8945,70,24,79,45,56,837,1114,4662,87,25,64,0,0,0,0,6,0,0,0,1,1,2,6,167,0,0,2,0,1,0,1,29,0,1,0,28,42,149,796,2909,100,40,161,672,421,0,0,1093,20552,11360,0.55,20008,13859,0.69
Orange ,624,7299,4883,30047,165342,2832,1060,4831,1009,11100,109988,99412,117477,8096,3705,13978,2,11,27,58,221,11,11,25,20,177,865,1062,3683,219,26,284,9,46,84,278,1743,41,29,84,710,13779,28229,82025,100556,6910,3020,19690,20206,32260,44,1028,53538,798373,479291,0.60,776488,556134,0.72
Osceola ,179,938,779,13150,33884,775,269,604,218,1826,14183,51993,21429,2350,973,1818,0,1,5,13,31,2,2,1,4,26,102,305,653,38,4,28,2,6,12,84,266,9,6,9,178,1945,4571,42753,22186,2022,775,2340,9751,13512,0,0,23263,218754,116105,0.53,196326,142700,0.73
Palm Beach ,613,3456,4447,23151,232700,2606,841,6983,970,6816,107116,50977,224542,5845,2703,15596,0,8,24,48,306,19,4,22,18,158,867,1056,7876,308,17,315,4,25,64,157,1471,27,21,90,688,8150,25314,43685,168092,5223,2231,20662,26776,57587,258,3944,88565,933572,596136,0.64,901642,672607,0.75
Pasco ,518,1966,979,8082,130480,1734,412,1270,371,2152,13605,15685,76438,2366,678,1712,1,1,5,15,128,7,1,2,14,51,186,263,2861,64,11,55,9,17,16,53,885,17,10,13,413,2979,4392,13477,76613,2403,673,2845,20532,17435,0,0,37967,351949,213442,0.61,336040,244950,0.73
Pinellas ,751,4412,2000,7053,220693,2588,601,2035,834,5030,45402,16039,172075,4208,1725,3895,3,6,14,26,417,21,4,16,17,69,231,228,4255,115,15,91,13,35,50,77,2101,37,15,47,666,7451,10407,13282,147088,4702,1486,6052,66760,71559,240,6329,144888,666876,439603,0.66,648791,502113,0.77
