Area me,POP ESTIMATE 2018,Housing units,Area in sq mi Land,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Total Male,Total Female,Total age 0 to 17,Male age 0 to 17,Female age 0 to 17,Total age 18 to 64,Male age 18 to 64,Female age 18 to 64,Total age 65plus,Male age 5plus,Female age 65plus,Total age 85plus,Male age 85plus,Female age 85plus,Total Households,Total Households Family,Total Households Family w biological minors,Total Households Family Married couple,Total Households Family Married Couple Biological minor,Total Households Family Male Householder no wife present,Household BY TYPE,Total Households Family Female Householder no husband present,Total Households Family Female Householder no husband biological minor,Total Household NonFam Household,Total Household NonFam Household Householder alone,Total Household NonFam Household Householder alone 65plus,Total Household Household w multiple minors,Total Household Household w multi 65plus,Total Pop in Household,Pop in Household Number of Householders living in household,Pop in Household Number of Spouses,Pop in Household Number of Children,Pop in Household Number of Other relatives,Pop in Household Number of Nonrelatives,Pop in Household Number of Nonrelatives or Unmarried partner,Males 15plus,Males 15plus never married,Males 15plus Now married except separated,Males 15plus Separated,Males 15plus Widowed,Males 15plus Divorced,Females 15plus,Females 15plus Never married,Females 15plus Now married except separated,Females 15plus Separated,Females 15plus Widowed,Females 15plus Divorced,WA MALE,WA FEMALE,BA MALE,BA FEMALE,IA MALE,IA FEMALE,AA MALE,AA FEMALE,NA MALE,NA FEMALE,TOM MALE,TOM FEMALE,WAC MALE,WAC FEMALE,BAC MALE,BAC FEMALE,IAC MALE,IAC FEMALE,AAC MALE,AAC FEMALE,C MALE,C FEMALE,NH MALE,NH FEMALE,NHWA MALE,NHWA FEMALE,NHBA MALE,NHBA FEMALE,NHIA MALE,NHIA FEMALE,NHAA MALE,NHAA FEMALE,NH MALE,NH FEMALE,NHTOM MALE,NHTOM FEMALE,NHWAC MALE,NHWAC FEMALE,NHBAC MALE,NHBAC FEMALE,NHIAC MALE,NHIAC FEMALE,NHAAC MALE,NHAAC FEMALE,NHC MALE,NHC FEMALE,H MALE,H FEMALE,HWA MALE,HWA FEMALE,HBA MALE,HBA FEMALE,HIA MALE,HIA FEMALE,HAA MALE,HAA FEMALE,H MALE,H FEMALE,HTOM MALE,HTOM FEMALE,HWAC MALE,HWAC FEMALE,HBAC MALE,HBAC FEMALE,HIAC MALE,HIAC FEMALE,HAAC MALE,HAAC FEMALE,HC MALE,HC FEMALE,Age restricted housing,Liscensed Adult Daycare Facilities,Liscensed Adult Daycare Beds,Total Lisenced Nursing Home Facilities,Total Nursing Home Beds,Tobacco Permits,Alcohol Liscenses,Liscensed Barbers,Lisensed Cosmetologists,Total Prisons,Religious adherents 2010,Congregations 2010,Congregations Per 10K People
Jefferson ,14288,6632,598.1,24.7,11.1,7491,6797,2431,1266,1165,8495,4664,3831,3362,1561,1801,370,123,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4742,4271,2580,2322,28,31,32,59,3,2,106,112,4838,4375,2629,2375,73,74,51,75,6,13,7173,6564,4491,4099,2540,2282,17,23,29,56,3,1,93,103,4576,4195,2581,2332,56,64,47,70,6,9,318,233,251,172,40,40,11,8,3,3,0,1,13,9,262,180,48,43,17,10,4,5,0,4,1,0,,1,97,85,111,56,547,2,9009,51,35
Lafayette ,8732,3328,543.41,16.3,6.1,4986,3746,1771,842,929,5560,3479,2081,1401,665,736,160,64,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3907,3418,953,226,51,20,11,15,6,4,58,63,3962,3478,987,256,66,41,21,24,8,10,4268,3220,3251,2927,929,212,19,8,10,14,2,3,57,56,3305,2980,962,239,34,28,20,21,4,8,718,526,656,491,24,14,32,12,1,1,4,1,1,7,657,498,25,17,32,13,1,3,4,2,0,0,,1,60,30,47,26,135,3,3754,20,23
Lake ,356495,144996,938.38,316.6,154.5,172515,183980,68268,34814,33454,193118,94003,99115,95109,43698,51411,11223,4694,6529,136366,94847,29229,73284,19549,4974,1570,16589,8110,41519,35119,18898,33622,62000,352677,136366,73482,98093,28798,15938,7678,143412,39484,80778,2535,4487,16128,157060,32276,79314,2561,17732,25177,144513,153321,19407,20982,1142,1023,3587,4475,290,373,3576,3806,147650,156625,21393,23079,2218,2225,4511,5483,519,604,143789,155498,119242,128155,17591,19264,596,571,3391,4277,163,183,2806,3048,121675,130768,19127,20918,1412,1526,4199,5164,336,363,28726,28482,25271,25166,1816,1718,546,452,196,198,127,190,770,758,25975,25857,2266,2161,806,699,312,319,183,241,117,4,146,10,1245,8,9,2,54,2,114251,323,11
Lee ,754610,371099,784.51,788.7,473,369372,385238,132623,67893,64730,406093,198648,207445,215894,102831,113063,26050,11548,14502,281222,180020,53146,142424,36221,11853,4616,25743,12309,101202,82873,45200,58517,133342,744456,281222,142105,197027,72954,51148,19172,313900,96769,158844,4755,13214,40318,331682,81570,158266,5161,38817,47868,321134,333817,33287,35224,2120,1672,5758,7513,463,388,6610,6624,327104,339748,37080,39039,3666,3322,7583,9352,913,813,285869,303508,245156,259063,29559,31441,844,778,5409,7219,118,176,4783,4831,249414,263311,32189,34105,1919,1946,6915,8739,455,505,83503,81730,75978,74754,3728,3783,1276,894,349,294,345,212,1827,1793,77690,76437,4891,4934,1747,1376,668,613,458,308,214,14,722,18,2190,376,733,422,4526,5,233165,430,7
Leon ,292502,124136,666.85,413.1,186.2,138642,153860,54472,27747,26725,198875,93804,105071,39155,17091,22064,4223,1465,2758,113390,61334,25544,41661,15488,4861,2026,14812,8030,52056,38160,10333,28245,27368,278125,113390,41568,73376,13076,36715,6588,115510,57539,43017,1151,2635,11168,131518,59632,47511,2511,6913,14951,87801,93173,41617,51012,488,513,5478,5514,110,92,3148,3556,90536,96224,43342,52998,1233,1406,6577,6749,258,266,129333,143922,79891,84918,40757,50008,358,369,5386,5425,69,66,2872,3136,82375,87592,42321,51740,1030,1144,6426,6571,199,212,9309,9938,7910,8255,860,1004,130,144,92,89,41,26,276,420,8161,8632,1021,1258,203,262,151,178,59,54,2,2,84,6,836,877,1947,986,12059,6,130227,274,10
Levy ,40770,20123,1118.21,36.5,18,19903,20867,7956,4113,3843,22711,10949,11762,10103,4841,5262,889,401,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17377,18141,1829,1996,150,148,137,168,19,18,391,396,17757,18509,1997,2193,322,313,190,217,30,34,18104,19165,15797,16629,1733,1918,108,95,122,156,10,11,334,356,16120,16959,1874,2093,259,246,168,199,19,26,1799,1702,1580,1512,96,78,42,53,15,12,9,7,57,40,1637,1550,123,100,63,67,22,18,11,8,3,0,,1,120,290,653,554,3667,1,19438,80,20
Liberty ,8457,3357,835.56,10,4,5215,3242,1512,801,711,5716,3811,1905,1229,603,626,102,41,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3733,2780,1332,322,57,44,14,24,1,3,78,69,3806,2845,1380,370,80,63,24,29,3,4,4783,3067,3365,2656,1298,301,41,34,9,16,1,1,69,59,3429,2712,1340,342,63,50,17,21,3,1,432,175,368,124,34,21,16,10,5,8,0,2,9,10,377,133,40,28,17,13,7,8,0,3,0,0,,0,,76,133,49,472,4,3565,21,25
Madison ,18529,8481,695.95,27.6,12.2,9799,8730,3492,1828,1664,11239,6212,5027,3798,1759,2039,416,132,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5868,5152,3676,3325,79,52,38,53,2,3,136,145,5997,5286,3748,3403,124,107,56,70,11,9,9122,8367,5284,4858,3631,3279,52,42,34,50,1,3,120,135,5397,4982,3693,3351,93,93,52,67,8,9,677,363,584,294,45,46,27,10,4,3,1,0,16,10,600,304,55,52,31,14,4,3,3,0,0,0,,2,180,14,15,9,77,5,9381,55,29
Manatee ,394855,172690,742.93,434.5,232.4,190647,204208,72121,36551,35570,214561,103889,110672,108173,50207,57966,14617,6337,8280,150814,99502,28751,79711,18782,5994,3053,13797,6916,51312,42936,25655,32105,70347,390641,150814,79044,100378,33379,27026,11551,160060,44642,87957,3306,5370,18785,174636,37368,85738,3828,18474,29228,164781,175419,17078,19027,1015,983,4054,4900,197,172,3522,3707,168006,178778,19071,21132,1854,1909,4946,5825,387,374,157161,171618,134294,145705,15703,17650,384,425,3784,4715,112,99,2884,3024,136920,148430,17295,19314,1067,1190,4578,5538,267,264,33486,32590,30487,29714,1375,1377,631,558,270,185,85,73,638,683,31086,30348,1776,1818,787,719,368,287,120,110,155,1,100,12,1536,35,45,24,159,5,121961,244,8
Marion ,359977,164050,1584.55,209.1,103.5,172642,187335,66922,34173,32749,188877,90426,98451,104178,48043,56135,11649,5038,6611,143441,93029,26064,68670,14616,6662,2746,17697,8702,50412,44223,23454,32425,68999,350049,143441,68647,85145,29782,23034,9455,144025,43611,72377,2455,6610,18972,161513,38478,76191,2974,20873,22997,142022,153660,23040,25460,970,904,2847,3634,155,160,3608,3517,145240,156749,25083,27437,2088,2042,3629,4420,366,360,147954,162930,120238,132051,21283,23746,604,567,2735,3541,93,97,3001,2928,122894,134599,22970,25372,1527,1518,3436,4237,262,264,24688,24405,21784,21609,1757,1714,366,337,112,93,62,63,607,589,22346,22150,2113,2065,561,524,193,183,104,96,60,2,46,10,1367,434,900,432,5026,10,115580,364,11
Martin ,160912,78131,543.46,269.2,143.8,79518,81394,26388,13457,12931,84834,43094,41740,49690,22967,26723,8058,3498,4560,63070,38310,11141,30863,8159,1599,576,5848,2406,24760,20791,13320,12626,32538,156961,63070,30971,42221,10470,10229,3054,68455,21621,34464,1315,2797,8258,71168,15013,33429,1885,10544,10297,71254,73793,5006,4243,873,630,1023,1351,162,124,1200,1253,72347,74914,5577,4837,1216,1013,1351,1695,245,209,67441,71038,60789,64693,4550,3853,145,164,955,1295,44,42,958,991,61652,65574,4999,4297,411,468,1244,1596,108,109,12077,10356,10465,9100,456,390,728,466,68,56,118,82,242,262,10695,9340,578,540,805,545,107,99,137,100,62,1,122,6,656,465,727,593,4265,5,61237,117,8
Miami-Dade ,2761581,989435,1897.72,1315.5,521.4,1340718,1420863,558250,283994,274256,1755219,870416,884803,448112,186308,261804,64317,22311,42006,895801,622526,243834,394815,154216,60883,19513,166828,70105,273275,219017,84484,286598,294464,2716712,895801,394147,867387,390839,168538,56817,1103342,437669,499803,24341,26631,114898,1193197,396522,460943,46896,108875,179961,1059558,1117543,238595,257042,4002,3705,21505,24263,642,646,16416,17664,1072424,1131251,249511,268921,6835,6811,27222,30458,2453,2612,421228,433223,184947,174845,205629,224616,1104,1179,19918,22563,311,266,9319,9754,191570,181604,211500,230836,2559,2743,23840,26733,1623,1686,919490,987640,874611,942698,32966,32426,2898,2526,1587,1700,331,380,7097,7910,880854,949647,38011,38085,4276,4068,3382,3725,830,926,68,167,9299,53,8225,235,522,148,2326,0,992522,1437,6
Monroe ,75027,52764,983.28,74.3,53.7,39005,36022,11361,5769,5592,46400,24238,22162,17266,8998,8268,1723,797,926,31362,18944,6277,14074,3134,2085,1538,2785,1605,12418,8749,3543,6671,11278,73083,31362,14259,14982,4605,7875,3656,33852,10512,15936,474,1263,5667,31724,7237,16424,424,2982,4657,34756,32231,2807,2342,198,190,478,592,49,28,717,639,35424,32805,3088,2619,467,426,660,752,87,69,29352,26957,25669,23666,2499,2102,130,130,453,565,39,19,562,475,26190,24092,2706,2287,343,307,613,699,65,50,9653,9065,9087,8565,308,240,68,60,25,27,10,9,155,164,9234,8713,382,332,124,119,47,53,22,19,6,2,220,2,240,386,795,94,1312,4,24391,81,11
Nassau,85832,35009,648.64,113,54,42254,43578,16943,8717,8226,49847,24449,25398,19042,9088,9954,1756,753,1003,32624,23407,8140,18165,5892,1154,386,4088,1862,9217,7446,3679,8943,12265,84957,32624,18332,24878,5241,3882,2111,35272,10025,19047,802,853,4545,36428,7064,19609,1214,3657,4884,38296,39470,2560,2629,223,206,388,491,39,33,748,749,38992,40153,2863,2951,462,434,612,718,78,76,40295,41693,36666,37885,2411,2513,162,153,360,456,34,26,662,660,37283,38483,2675,2787,367,352,571,668,66,66,1959,1885,1630,1585,149,116,61,53,28,35,5,7,86,89,1709,1670,188,164,95,82,41,50,12,10,0,1,30,4,542,107,226,65,1017,1,34276,101,14
Okaloosa ,207269,92407,930.25,194.4,99.3,104997,102272,46083,23487,22596,127997,66394,61603,33189,15116,18073,3614,1397,2217,79570,51819,20753,39512,13413,3459,1765,8848,5575,27751,22252,8589,22782,23709,200992,79570,39363,58214,10282,13563,6035,84179,29846,41554,1307,2036,9436,82900,19051,41622,2721,6206,13300,85489,82653,11501,9938,776,729,2583,4165,207,270,4441,4517,89471,86695,13402,11902,1696,1664,4680,6330,472,524,94838,92338,77212,74402,10672,9249,567,564,2410,3996,158,206,3819,3921,80628,77902,12278,10904,1305,1343,4325,5978,380,429,10159,9934,8277,8251,829,689,209,165,173,169,49,64,622,596,8843,8793,1124,998,391,321,355,352,92,95,0,1,40,8,899,286,575,194,3075,6,86390,222,12
Okeechobee ,41537,18509,768.91,52,24.1,22289,19248,8844,4661,4183,24475,13618,10857,8218,4010,4208,942,437,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18863,17188,2518,1241,357,290,204,221,30,29,317,279,19156,17446,2700,1403,445,373,257,262,49,46,16207,14757,13173,13004,2389,1152,212,178,186,209,20,20,227,194,13382,13180,2519,1252,272,244,227,243,35,32,6082,4491,5690,4184,129,89,145,112,18,12,10,9,90,85,5774,4266,181,151,173,129,30,19,14,14,14,0,,1,180,82,125,67,415,7,14331,53,13
Orange ,1380645,487839,903.43,1268.5,540,677345,703300,305917,156078,149839,909908,449158,460750,164820,72109,92711,19063,6785,12278,458157,298508,128670,209358,83018,26228,10022,62922,35630,159649,118427,33703,143617,110232,1348468,458157,209280,413768,145807,121456,34598,547119,230391,241504,9918,8528,56778,578840,214161,234618,16701,39033,74327,466308,474063,150500,162923,3973,3859,36514,42244,1512,1260,18538,18951,481795,489759,161940,174711,7786,7816,43021,48975,2936,2698,457646,476635,273628,275110,133895,145485,1402,1503,35101,40688,869,700,12751,13149,283885,285557,141392,153279,3704,3953,40277,46069,1976,1866,219699,226665,192680,198953,16605,17438,2571,2356,1413,1556,643,560,5787,5802,197910,204202,20548,21432,4082,3863,2744,2906,960,832,42,8,289,40,4962,1572,3219,2500,23824,15,482253,824,7
Osceola ,367990,128170,1327.45,202.4,96.6,181463,186527,89835,46107,43728,229550,113764,115786,48605,21592,27013,4736,1800,2936,102705,72198,30942,51238,20252,6355,2587,14605,8103,30507,24338,7267,35116,29796,366335,102705,50800,137127,49418,26285,7487,143338,62931,61687,2685,3064,12971,150529,54104,58423,4537,9768,23697,144104,147995,25440,25539,1547,1452,4953,5714,441,505,4978,5322,148475,152672,28810,29209,2694,2713,6183,7007,755,814,80967,83578,55907,57356,17487,17693,372,357,4534,5247,171,278,2496,2647,57980,59540,19057,19381,870,922,5342,6081,372,486,100496,102949,88197,90639,7953,7846,1175,1095,419,467,270,227,2482,2675,90495,93132,9753,9828,1824,1791,841,926,383,328,23,3,170,8,949,395,741,873,4977,4,98652,206,8
Palm Beach ,1485941,664594,1969.76,670.2,337.4,720762,765179,283456,144656,138800,847219,418617,428602,355266,157489,197777,63211,26555,36656,552286,337212,113133,251759,75414,24236,10030,61217,27689,215074,178061,100477,127106,236637,1464853,552286,252008,420578,135380,104601,35129,600838,219805,286087,9833,21510,63603,651665,191710,282319,13005,75454,89177,541173,570919,140045,152717,4986,3729,20352,23199,857,766,13349,13849,552162,582183,148170,161202,7719,6656,25021,28085,2126,2078,550036,595335,387015,416621,131987,144322,1209,1201,19591,22469,338,339,9896,10383,394842,424706,137834,150486,3051,3222,23444,26533,1415,1474,170726,169844,154158,154298,8058,8395,3777,2528,761,730,519,427,3453,3466,157320,157477,10336,10716,4668,3434,1577,1552,711,604,892,30,1919,45,5313,1628,3335,1974,25414,9,483715,775,6
Pasco ,539630,228928,746.89,622.2,306.5,262406,277224,109651,55952,53699,307874,150555,157319,122105,55899,66206,14844,6008,8836,205128,131802,48809,100333,34169,7828,3920,23641,10720,73326,60258,31336,55659,81862,531196,205128,100552,150715,41075,33726,15159,216333,67758,108663,3652,9980,26280,233102,54741,111721,3491,28822,34327,230849,243651,17322,17571,1335,1243,6432,8151,278,284,6190,6324,236574,249503,20401,20775,2935,2924,8516,10248,565,556,220269,234149,193235,205187,14940,15142,746,735,6169,7846,160,165,5019,5074,197863,209855,17362,17613,1962,2020,8011,9680,390,388,42137,43075,37614,38464,2382,2429,589,508,263,305,118,119,1171,1250,38711,39648,3039,3162,973,904,505,568,175,168,194,4,156,17,2068,542,903,847,7158,5,101424,273,6
Pinellas ,975280,503634,273.8,3347.5,1839.4,467828,507452,157672,80316,77356,575967,279993,295974,241641,107519,134122,36697,13822,22875,405892,221744,66531,159906,38091,15365,5738,46473,22702,184148,150498,73628,77574,165617,955780,405892,159759,236430,78167,75532,31184,401340,140177,176812,6380,17283,60688,443651,121599,171772,8962,57782,83536,387744,417960,50998,56795,1912,1867,15987,19043,565,573,10622,11214,397493,428166,56540,62663,4517,4670,19596,22901,1051,1110,419729,457959,345494,374540,48229,53779,1099,1115,15551,18581,390,425,8966,9519,353671,383134,52749,58592,3205,3410,18812,22072,814,899,48099,49493,42250,43420,2769,3016,813,752,436,462,175,148,1656,1695,43822,45032,3791,4071,1312,1260,784,829,237,211,581,26,1277,64,7341,1355,2776,1381,16211,8,330099,618,7
Polk ,708009,281214,1797.84,334.9,156.4,346929,361080,156487,80214,76273,408380,200892,207488,143142,65823,77319,16058,6743,9315,241171,166438,60590,117527,37304,14398,7474,34513,15812,74733,59183,31331,70669,94821,695777,241171,117437,206453,77506,53210,19012,280658,101289,133161,5241,10314,30653,297808,90137,126328,8516,33719,39108,274303,284433,55496,58658,2484,2241,6209,7528,404,376,8033,7844,281625,291516,60632,63653,4563,4331,7974,9295,837,816,262175,278605,199185,211098,50301,53294,956,978,5879,7222,176,189,5678,5824,204253,216246,53837,56892,2313,2452,7299,8690,519,558,84754,82475,75118,73335,5195,5364,1528,1263,330,306,228,187,2355,2020,77372,75270,6795,6761,2250,1879,675,605,318,258,179,3,195,24,3046,792,1248,1176,7643,10,244720,676,11
Putnam ,74163,37337,727.62,102.2,51.3,36699,37464,15875,8188,7687,41084,20290,20794,17204,8221,8983,1857,776,1081,27927,17301,5173,12507,3196,1161,443,3633,1534,10626,8572,4305,6106,12512,72928,27927,12253,22734,5487,4527,2250,29600,9338,13678,579,1337,4668,31457,7860,14443,659,2814,5681,29695,29903,5798,6348,291,242,227,267,45,56,643,648,30296,30510,6148,6694,517,479,310,353,74,84,32787,33798,26261,26610,5578,6173,180,155,206,252,22,43,540,565,26766,27136,5866,6462,373,372,277,328,47,69,3912,3666,3434,3293,220,175,111,87,21,15,23,13,103,83,3530,3374,282,232,144,107,33,25,27,15,2,0,,3,337,125,181,82,652,2,30972,136,18
St. Johns ,254261,89830,600.66,316.4,149.6,124017,130244,55165,28120,27045,147616,71997,75619,51480,23900,27580,5574,2210,3364,90109,63627,24854,53843,19475,2742,1816,7042,3563,26482,21766,11345,26172,33218,251862,90109,53954,78802,14104,14893,4373,101284,26909,58342,802,3388,11843,107948,25028,57393,728,9534,15265,110091,115646,6905,7177,440,363,3834,4276,125,93,2622,2689,112546,118143,7957,8269,1060,992,4946,5435,256,236,114760,121187,101810,107528,6512,6769,309,276,3739,4179,99,76,2291,2359,103952,109719,7402,7686,822,799,4770,5256,210,206,9257,9057,8281,8118,393,408,131,87,95,97,26,17,331,330,8594,8424,555,583,238,193,176,179,46,30,7,1,21,8,750,231,646,156,2722,4,67058,156,10
St. Lucie ,321128,137029,571.93,485.7,239.6,156975,164153,63294,32915,30379,180331,88021,92310,77503,36039,41464,9805,4200,5605,118768,81576,28737,59732,18421,5316,2063,16528,8253,37192,29381,15447,34776,51626,318476,118768,59453,93327,25252,21676,7797,130004,40881,67797,1438,4735,15153,139001,33560,64954,3138,17095,20254,116939,120876,32618,34792,926,879,2674,3689,169,176,3649,3741,120014,123992,35027,37267,1789,1838,3671,4704,445,463,125407,132944,88839,93197,30736,32907,358,310,2502,3542,95,105,2877,2883,91197,95519,32603,34778,1000,1016,3352,4407,334,350,31568,31209,28100,27679,1882,1885,568,569,172,147,74,71,772,858,28817,28473,2424,2489,789,822,319,297,111,113,35,3,122,7,900,350,595,596,4529,3,165091,292,8
Santa Rosa ,179349,64760,1011.6,149.6,64,91404,87945,39352,20195,19157,111352,57790,53562,28645,13419,15226,2533,1015,1518,63891,50566,19345,38697,13033,4455,2381,7414,3931,13325,10284,3677,22071,19224,173741,63891,38911,49212,13676,8051,3296,74902,18436,43915,672,1432,10447,72051,13854,41329,1519,5670,9679,78732,77385,7331,4257,828,746,1411,2449,152,153,2950,2955,81483,80099,8382,5319,1721,1659,2694,3721,313,328,86028,83096,74251,73350,6991,4010,685,600,1340,2344,128,130,2633,2662,76707,75796,7901,4935,1446,1399,2533,3544,278,288,5376,4849,4481,4035,340,247,143,146,71,105,24,23,317,293,4776,4303,481,384,275,260,161,177,35,40,1,1,8,4,410,155,252,163,2115,5,172072,283,7
Sarasota ,426718,228413,555.87,682.6,410.9,203342,223376,60616,31149,29467,209593,100558,109035,156509,71635,84874,24207,10270,13937,183721,112078,24573,90906,15633,5433,2573,15739,6367,71643,58177,37125,28124,102602,421267,183721,90903,87457,29173,30013,12077,177789,47186,97994,1645,8329,22635,200058,35617,98778,2205,29108,34350,186012,204550,9874,10507,680,682,3400,4204,131,133,3245,3300,189034,207589,11525,12156,1601,1669,4414,5204,288,309,183699,203171,168207,186036,9018,9721,368,388,3274,4092,74,70,2758,2864,170772,188671,10380,11107,1124,1236,4183,5010,218,221,19643,20205,17805,18514,856,786,312,294,126,112,57,63,487,436,18262,18918,1145,1049,477,433,231,194,70,88,151,2,112,28,2961,483,1278,574,6611,1,69667,134,7
Seminole ,467832,181307,309.22,1367,586.3,226010,241822,98309,49761,48548,296990,145046,151944,72533,31203,41330,9435,3373,6062,179274,121209,50622,92048,35719,8212,3996,20949,10907,58065,46177,16020,55504,49842,463418,179274,91772,131067,30037,31268,10626,184936,62917,97091,2394,3765,18769,202554,55977,99867,4474,17731,24505,179102,190196,28594,31864,1003,1046,10928,11869,274,294,6109,6553,184623,196119,32029,35585,2383,2524,13215,14297,560,600,176375,188622,135526,143200,25058,28235,476,545,10581,11551,135,160,4599,4931,139605,147570,27527,30900,1420,1574,12488,13585,351,387,49635,53200,43576,46996,3536,3629,527,501,347,318,139,134,1510,1622,45018,48549,4502,4685,963,950,727,712,209,213,10,4,228,15,1781,454,909,584,6566,1,79604,213,8
Sumter ,128754,53026,546.93,170.8,97,64194,64560,9102,4618,4484,45506,24166,21340,74146,35410,38736,5574,2750,2824,62854,40081,4039,36059,2420,1238,322,2784,1297,22773,19783,16140,4769,48118,119344,62854,36141,13309,3332,3708,2429,60333,9665,37933,953,4727,7055,60637,5522,37686,332,10728,6369,56262,59770,6450,3156,311,208,474,754,46,42,651,630,56808,60328,6775,3435,590,498,618,890,108,81,59729,61622,52458,57110,6031,3025,197,164,455,738,33,33,555,552,52922,57594,6308,3263,440,426,580,856,78,68,4465,2938,3804,2660,419,131,114,44,19,16,13,9,96,78,3886,2734,467,172,150,72,38,34,30,13,17,1,18,3,312,101,228,73,951,8,22000,99,11
Suwannee ,44191,19164,688.55,60.3,27.8,22743,21448,9409,4807,4602,25340,13505,11835,9442,4431,5011,1157,429,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18881,18297,3196,2453,182,148,143,160,19,19,322,371,19172,18646,3358,2634,306,307,199,213,40,32,20417,19518,16827,16540,3085,2393,89,98,128,151,10,11,278,325,17081,16846,3225,2545,196,240,174,200,26,21,2326,1930,2054,1757,111,60,93,50,15,9,9,8,44,46,2091,1800,133,89,110,67,25,13,14,11,0,0,,3,401,63,86,26,444,4,21885,101,24
Taylor ,21623,11004,1043.31,21.6,10.5,11798,9825,4357,2236,2121,12846,7477,5369,4420,2085,2335,429,180,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,7715,2563,1680,114,97,93,90,6,6,222,237,9000,7936,2685,1791,195,203,133,119,15,18,11075,9574,8159,7504,2509,1660,100,85,90,89,6,5,211,231,8348,7720,2625,1766,179,189,127,118,15,17,723,251,641,211,54,20,14,12,3,1,0,1,11,6,652,216,60,25,16,14,6,1,0,1,0,0,,1,120,50,68,24,276,4,11088,64,28
Union ,14940,4508,243.56,63.8,18.5,9623,5317,2902,1492,1410,9801,6937,2864,2237,1194,1043,163,74,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6607,4491,2765,619,38,41,75,36,6,0,132,130,6730,4617,2858,700,66,77,89,48,16,6,9020,5067,6094,4305,2698,580,32,28,74,35,4,0,118,119,6203,4420,2781,656,57,58,87,46,14,6,603,250,513,186,67,39,6,13,1,1,2,0,14,11,527,197,77,44,9,19,2,2,2,0,0,0,,0,,19,18,9,122,7,3294,22,14
Volusia ,547538,254226,1101.03,449.2,230.9,267217,280321,96836,49477,47359,316969,156625,160344,133733,61115,72618,16979,6658,10321,218423,131946,41611,98799,26756,11237,5096,21910,9759,86477,69838,33216,46591,88636,538003,218423,98655,138829,40911,41185,15840,226714,76640,108619,1837,10561,29057,240868,58338,107519,5730,28833,40448,224745,234635,29929,32412,1302,1290,5145,5843,237,191,5859,5950,230150,240094,33239,35769,3004,3089,6734,7428,514,450,227528,240463,189931,199797,27242,29517,760,773,4895,5544,136,99,4564,4733,194117,204109,29734,32105,2029,2165,6253,6912,355,298,39689,39858,34814,34838,2687,2895,542,517,250,299,101,92,1295,1217,36033,35985,3505,3664,975,924,481,516,159,152,78,3,100,25,3061,773,1516,710,8051,9,172437,425,9
Wakulla ,32461,12804,606.42,50.8,21.1,17327,15134,6945,3572,3373,20430,11275,9155,5086,2480,2606,402,153,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13903,13093,2790,1463,143,97,96,144,19,11,376,326,14237,13386,2988,1634,276,215,170,203,40,28,16626,14612,13331,12657,2732,1424,125,87,91,139,17,7,330,298,13625,12925,2906,1580,238,195,156,192,36,22,701,522,572,436,58,39,18,10,5,5,2,4,46,28,612,461,82,54,38,20,14,11,4,6,0,0,,1,120,39,62,59,288,4,6972,44,14
Walton ,71375,45132,1037.62,53,43.5,36080,35295,14423,7300,7123,42275,21776,20499,14677,7004,7673,1340,562,778,28770,19893,7984,16773,6404,1337,978,1783,602,8877,7047,4178,9073,10511,69851,28770,16627,17298,3167,3989,2052,28921,6624,16959,393,731,4214,30535,5200,17471,642,2046,5176,32108,31925,2217,1526,308,267,411,577,62,53,974,947,33020,32812,2540,1832,761,705,665,817,94,95,33576,33245,29962,30140,2130,1467,248,230,383,556,25,25,828,827,30744,30917,2395,1722,619,605,613,781,53,56,2504,2050,2146,1785,87,59,60,37,28,21,37,28,146,120,2276,1895,145,110,142,100,52,36,41,39,0,0,,2,277,130,323,31,1050,4,22237,120,22
Washington ,24880,10796,582.8,42.7,18.5,13350,11530,4955,2479,2476,15562,8842,6720,4363,2029,2334,369,159,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10408,9606,2363,1334,182,157,62,86,17,68,318,279,10661,9851,2548,1478,319,265,114,128,35,92,12817,11142,9982,9310,2321,1287,160,143,60,83,10,66,284,253,10209,9530,2487,1419,283,243,103,120,26,87,533,388,426,296,42,47,22,14,2,3,7,2,34,26,452,321,61,59,36,22,11,8,9,5,0,0,,1,180,31,38,23,237,3,9767,60,24
