Area Name,2018 Flu Pneum Count,2018 Flu Pneum Rate,2018 Flu Pneum MOV,2017 Flu Pneum Count,2017 Flu Pneum Rate,2017 Flu Pneum MOV,2016 Flu Pneum Count,2016 Flu Pneum Rate,2016 Flu Pneum MOV,2015 Flu Pneum Count,2015 Flu Pneum Rate,2015 Flu Pneum MOV,2014 Flu Pneum Count,2014 Flu Pneum Rate,2014 Flu Pneum MOV,2013 Flu Pneum Count,2013 Flu Pneum Rate,2013 Flu Pneum MOV,2012 Flu Pneum Count,2012 Flu Pneum Rate,2012 Flu Pneum MOV,2011 Flu Pneum Count,2011 Flu Pneum Rate,2011 Flu Pneum MOV,2010 Flu Pneum Count,2010 Flu Pneum Rate,2010 Flu Pneum MOV,2009 Flu Pneum Count,2009 Flu Pneum Rate,2009 Flu Pneum MOV,Total Recorded Deaths 2018,Total Recorded Deaths 2017,Total Recorded Deaths 2016,Total Recorded Deaths 2015,Total Recorded Deaths 2014,Total Recorded Deaths 2013,Total Recorded Deaths 2012,Total Recorded Deaths 2011,Total Recorded Deaths 2010,Total Recorded Deaths 2009,"2018 AADR per 100,000","2017 AADR per 100,000","2016 AADR per 100,000","2015 AADR per 100,000","2014 AADR per 100,000","2013 AADR per 100,000","2012 AADR per 100,000","2011 AADR per 100,000","2010 AADR per 100,000","2009 AADR per 100,000",Deaths cardiorespiratory ages 0 to 24 2008-2018,Deaths cardiorespiratory ages 25 to 64 2008-2018,Deaths cardiorespiratory 65plus 2008-2018,Cardiovascular deaths 2018,Cardiovascular deaths 2017,Cardiovascular deaths 2016,Cardiovascular deaths 2015,Cardiovascular deaths 2014,Cardiovascular deaths 2013,Cardiovascular deaths 2012,Cardiovascular deaths 2011,Cardiovascular deaths 2010,Cardiovascular deaths 2009
Nassau ,16,19.3,9.4,16,20.1,9.8,19,24.3,10.9,15,19.5,9.9,15,19.9,10,17,22.7,10.8,15,20.3,10.3,18,24.4,11.3,15,20.4,10.3,19,26.2,11.8,680,660,617,621,500,455,417,439,419,386,831,862,808,757,788,802,732,815,773,817,7,567,2331,257,249,238,221,207,215,179,177,175,192
Okaloosa ,29,14.6,5.3,31,15.9,5.6,26,13.5,5.2,23,12,4.9,30,15.7,5.6,32,17,5.9,25,13.3,5.2,28,15.3,5.7,18,10,4.6,19,10.5,4.7,1942,1836,1712,1787,1636,1578,1522,1472,1451,1462,845,826,795,852,797,777,766,786,762,781,22,1192,5104,517,492,465,491,467,455,420,396,417,453
Okeechobee ,15,36.2,18.3,10,24.1,14.9,9,22,14.3,8,19.9,13.8,9,22.6,14.8,15,37.7,19.1,4,10.1,,5,12.6,11,5,12.5,11,5,12.5,11,389,426,398,368,351,376,342,339,380,329,810,909,871,824,846,857,859,783,891,756,4,370,1497,147,146,171,150,127,131,136,112,126,124
Orange ,123,9,1.6,122,9.3,1.6,111,8.6,1.6,107,8.5,1.6,102,8.3,1.6,131,10.8,1.9,120,10.2,1.8,113,9.7,1.8,102,8.9,1.7,112,9.9,1.8,9788,9460,9007,8435,8002,7911,7834,7439,7422,7221,680,687,687,689,666,683,701,693,689,693,151,5728,22082,2642,2578,2467,2391,2161,2083,2047,1956,1943,1867
Osceola ,51,14.2,3.9,33,9.7,3.3,29,8.9,3.2,37,11.9,3.8,39,13.1,4.1,34,11.7,3.9,40,14.1,4.4,19,6.9,3.1,25,9.3,3.6,18,6.8,3.1,2320,2246,1945,2010,1906,1834,1727,1662,1656,1576,711,725,687,701,704,726,707,699,694,671,36,1621,6396,752,792,698,721,654,612,586,537,559,506
Palm Beach ,191,13.2,1.9,198,14,2,197,14.1,2,183,13.2,1.9,183,13.4,1.9,166,12.3,1.9,149,11.1,1.8,172,13,1.9,160,12.1,1.9,151,11.5,1.8,15382,15656,15359,14868,14542,14100,13870,13612,13639,13350,570,597,598,587,575,568,567,568,574,587,127,6228,50693,5262,5159,5039,4789,4456,4500,4496,4413,4532,4420
Pasco ,92,17.7,3.6,69,13.6,3.2,78,15.7,3.5,67,13.7,3.3,59,12.3,3.1,57,12,3.1,46,9.8,2.8,44,9.4,2.8,34,7.3,2.5,50,10.8,3,6172,5751,5674,5623,5530,5411,5294,5104,4981,4978,812,785,782,774,762,759,769,788,773,699,53,3701,18466,1859,1695,1758,1699,1688,1577,1516,1529,1576,1642
Pinellas ,176,18.1,2.7,222,23.1,3,235,24.6,3.1,200,21.1,2.9,186,19.9,2.9,172,18.5,2.8,148,16.1,2.6,149,16.2,2.6,156,17,2.7,135,14.7,2.5,12912,13012,12682,12485,12327,12122,11850,11962,12012,11968,721,720,714,705,712,707,714,731,743,741,96,6836,35673,3402,3380,3289,3296,3320,3325,3324,3140,3143,3284
Polk ,172,25.2,3.8,170,25.6,3.8,139,21.4,3.6,169,26.6,4,182,29.1,4.2,139,22.6,3.7,108,17.8,3.3,102,16.9,3.3,92,15.3,3.1,109,18.2,3.4,6755,6500,6238,6309,6095,5749,5689,5513,5561,5392,762,766,760,773,756,739,748,746,747,696,78,4603,21987,2229,2182,2092,2113,2029,1924,1879,1834,1890,1813
Putnam ,15,20.4,10.3,15,20.5,10.4,13,17.8,9.7,11,15.1,8.9,12,16.5,9.4,17,23.4,11.1,13,17.8,9.7,13,17.6,9.6,17,22.9,10.9,8,10.7,7.4,879,817,832,827,851,778,787,768,831,701,1016,977,911,925,946,908,883,960,1003,837,11,749,2905,280,260,239,285,277,231,244,249,273,249
St. Johns ,32,13.3,4.6,25,10.9,4.3,33,14.9,5.1,20,9.3,4.1,34,16.3,5.5,33,16.3,5.5,21,10.7,4.6,36,18.6,6.1,26,13.6,5.2,24,12.8,5.1,1675,1596,1494,1497,1429,1309,1334,1218,1047,1005,641,649,653,666,655,623,638,624,634,584,22,881,5316,534,542,534,532,514,448,438,374,388,336
