Area Name,All Specialties AAMC,Allergy Immunology AAMC,AnatomicorClinical Pathology AAMC,Anesthesiology AAMC,Cardiovascular Disease AAMC,Child Adolescent Psychiatry AAMC,Critical Care Medicine AAMC,Dermatology AAMC,Emergency Medicine AAMC,Endocrinology Diabetes Metabolism AAMC,Fam MedicineorGeneral Practice AAMC,Gastroenterology AAMC,General Surgery AAMC,Geriatric Medicine AAMC,Hematology Oncology AAMC,Infectious Disease AAMC,Internal Medicine AAMC,Internal MedicineorPediatrics AAMC,Interventional Cardiology AAMC,Neonatal Perinatal Medicine AAMC,Nephrology AAMC,Neurological Surgery AAMC,Neurology AAMC,Neuroradiology AAMC,Obstetrics Gynecology AAMC,Ophthalmology AAMC,Orthopedic Surgery AAMC,Otolaryngology AAMC,Pain Medicine Pain Management AAMC,Pediatrics AAMC,Physical Medicine Rehabilitation AAMC,Plastic Surgery AAMC,Preventive Medicine AAMC,Psychiatry AAMC,Pulmonary Disease AAMC,Radiation Oncology AAMC,Radiology Diagnostic Radiology AAMC,Rheumatology AAMC,Sports Medicine AAMC,Thoracic Surgery AAMC,Urology AAMC,Vascular Interventional Radiology AAMC,Vascular Surgery AAMC,Total nurse practitioners 2019,Total physician assistants 2019,Total Hospitals 2019,Internal Medicine Primary Care 2019,Fam MedicineorGeneral Practice Primary Care 2019,Pediatrics Primary Care 2019,Obstetrics Gynecology Primary Care 2019,Geriatrics Primary Care 2019,Total Primary Care Physicians 2019,Psychiatry specialists 2019,Surgery specialists 2019,Anesthesiology specialists 2019,Emergency Medicine specialists 2019,Radiology specialists 2019,Cardiology specialists 2019,Oncology Cancer specialists 2019,Endocrinology Diabetes and Metabolism specialists 2019,All Other Specialties specialists 2019,Total Specialist Physicians 2019,ICU Beds
Hamilton ,38,0,1,2,1,0,0,1,2,0,5,1,1,0,1,0,5,0,0,0,0,0,1,0,2,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,8,4,0,8,6,3,2,0,18,2,2,2,2,2,1,1,0,8,20,0
Hardee ,72,0,1,3,2,1,1,1,3,1,9,1,2,1,1,1,10,0,0,0,1,1,1,0,3,2,1,1,1,4,1,1,0,2,1,0,2,0,0,0,1,0,0,16,8,0,15,11,6,3,0,35,3,4,4,4,3,3,1,1,15,37,0
Hendry ,110,0,1,5,3,1,1,2,5,1,13,2,3,1,2,1,15,0,1,1,1,1,2,0,5,3,2,1,1,7,1,1,1,4,1,1,4,1,0,1,1,1,1,24,12,0,23,16,9,5,0,53,4,5,5,6,5,4,2,1,23,57,3
Hernando ,506,2,7,24,15,4,7,8,24,4,62,10,13,4,8,5,67,2,3,3,6,4,9,2,23,12,10,5,4,31,5,6,3,17,4,3,16,3,1,3,7,2,2,111,55,2,104,74,42,24,1,245,21,25,25,26,24,19,10,4,107,261,44
Highlands ,280,1,4,13,8,2,4,5,13,2,34,5,7,2,5,3,37,1,1,2,3,2,5,1,12,7,6,3,2,17,3,3,2,9,2,2,9,2,1,2,4,1,1,61,30,1,57,41,23,14,1,136,11,14,14,14,13,10,5,2,59,144,38
Hillsborough ,3811,17,51,177,111,28,50,64,178,32,464,74,99,27,63,38,507,12,20,24,44,28,65,16,170,90,79,39,31,235,37,44,21,125,28,25,122,25,10,22,49,18,17,834,411,15,782,559,316,184,7,1848,155,190,189,198,181,142,74,28,805,1963,432
Holmes ,52,0,1,2,2,0,1,1,2,0,6,1,1,0,1,1,7,0,0,0,1,0,1,0,2,1,1,1,0,3,0,1,0,2,0,0,2,0,0,0,1,0,0,11,6,0,11,8,4,2,0,25,2,3,3,3,2,2,1,0,11,27,0
Indian River ,417,2,6,19,12,3,5,7,20,4,51,8,11,3,7,4,56,1,2,3,5,3,7,2,19,10,9,4,3,26,4,5,2,14,3,3,13,3,1,2,5,2,2,91,45,2,86,61,35,20,1,202,17,21,21,22,20,16,8,3,88,215,40
Jackson ,128,1,2,6,4,1,2,2,6,1,16,2,3,1,2,1,17,0,1,1,1,1,2,1,6,3,3,1,1,8,1,1,1,4,1,1,4,1,0,1,2,1,1,28,14,0,26,19,11,6,0,62,5,6,6,7,6,5,2,1,27,66,7
Jefferson ,38,0,1,2,1,0,0,1,2,0,5,1,1,0,1,0,5,0,0,0,0,0,1,0,2,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,8,4,0,8,6,3,2,0,18,2,2,2,2,2,1,1,0,8,20,0
Lafayette ,23,0,0,1,1,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,2,0,5,3,2,1,0,11,1,1,1,1,1,1,0,0,5,12,0
Lake ,945,4,13,44,27,7,12,16,44,8,115,18,24,7,16,9,126,3,5,6,11,7,16,4,42,22,20,10,8,58,9,11,5,31,7,6,30,6,2,5,12,4,4,207,102,4,194,139,78,46,2,459,39,47,47,49,45,35,18,7,200,487,158
Lee ,2001,9,27,93,58,15,26,33,94,17,244,39,52,14,33,20,266,7,10,13,23,15,34,8,89,47,41,21,16,123,19,23,11,66,15,13,64,13,5,11,26,9,9,438,216,8,411,293,166,97,4,971,82,100,99,104,95,75,39,15,423,1031,141
Leon ,776,4,10,36,23,6,10,13,36,7,94,15,20,6,13,8,103,3,4,5,9,6,13,3,35,18,16,8,6,48,7,9,4,26,6,5,25,5,2,4,10,4,4,170,84,3,159,114,64,38,1,376,32,39,39,40,37,29,15,6,164,400,60
Levy ,108,0,1,5,3,1,1,2,5,1,13,2,3,1,2,1,14,0,1,1,1,1,2,0,5,3,2,1,1,7,1,1,1,4,1,1,3,1,0,1,1,1,0,24,12,0,22,16,9,5,0,52,4,5,5,6,5,4,2,1,23,56,0
Liberty ,22,0,0,1,1,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,2,0,5,3,2,1,0,11,1,1,1,1,1,1,0,0,5,12,0
Madison ,49,0,1,2,1,0,1,1,2,0,6,1,1,0,1,0,7,0,0,0,1,0,1,0,2,1,1,1,0,3,0,1,0,2,0,0,2,0,0,0,1,0,0,11,5,0,10,7,4,2,0,24,2,2,2,3,2,2,1,0,10,25,0
Manatee ,1047,5,14,49,30,8,14,18,49,9,128,20,27,8,17,10,139,3,5,7,12,8,18,4,47,25,22,11,9,65,10,12,6,34,8,7,34,7,3,6,14,5,5,229,113,4,215,153,87,51,2,508,43,52,52,54,50,39,20,8,221,540,90
Marion ,955,4,13,44,28,7,12,16,45,8,116,18,25,7,16,10,127,3,5,6,11,7,16,4,43,23,20,10,8,59,9,11,5,31,7,6,31,6,2,5,12,5,4,209,103,4,196,140,79,46,2,463,39,48,47,49,45,36,19,7,202,492,110
Martin ,427,2,6,20,12,3,6,7,20,4,52,8,11,3,7,4,57,1,2,3,5,3,7,2,19,10,9,4,3,26,4,5,2,14,3,3,14,3,1,2,6,2,2,93,46,2,88,63,35,21,1,207,17,21,21,22,20,16,8,3,90,220,74
Miami-Dade ,7323,33,98,341,213,54,96,122,342,62,892,142,190,53,122,73,974,24,38,46,85,54,125,30,327,174,152,76,60,451,71,85,39,241,54,48,235,48,19,42,95,35,34,1603,790,28,1503,1074,607,354,14,3552,299,365,364,380,348,273,142,55,1548,3773,593
Monroe ,199,1,3,9,6,1,3,3,9,2,24,4,5,1,3,2,26,1,1,1,2,1,3,1,9,5,4,2,2,12,2,2,1,7,1,1,6,1,1,1,3,1,1,44,21,1,41,29,16,10,0,97,8,10,10,10,9,7,4,1,42,103,14
Nassau ,228,1,3,11,7,2,3,4,11,2,28,4,6,2,4,2,30,1,1,1,3,2,4,1,10,5,5,2,2,14,2,3,1,7,2,1,7,1,1,1,3,1,1,50,25,1,47,33,19,11,0,110,9,11,11,12,11,8,4,2,48,117,0
Okaloosa ,550,2,7,26,16,4,7,9,26,5,67,11,14,4,9,6,73,2,3,3,6,4,9,2,25,13,11,6,5,34,5,6,3,18,4,4,18,4,1,3,7,3,3,120,59,2,113,81,46,27,1,267,22,27,27,28,26,21,11,4,116,283,57
Okeechobee ,110,0,1,5,3,1,1,2,5,1,13,2,3,1,2,1,15,0,1,1,1,1,2,0,5,3,2,1,1,7,1,1,1,4,1,1,4,1,0,1,1,1,1,24,12,0,23,16,9,5,0,53,4,5,5,6,5,4,2,1,23,57,8
Orange ,3661,17,49,171,107,27,48,61,171,31,446,71,95,26,61,37,487,12,19,23,42,27,62,15,164,87,76,38,30,226,35,42,20,121,27,24,117,24,10,21,48,17,17,801,395,14,752,537,304,177,7,1776,149,183,182,190,174,137,71,27,774,1886,388
Osceola ,976,4,13,45,28,7,13,16,46,8,119,19,25,7,16,10,130,3,5,6,11,7,17,4,44,23,20,10,8,60,9,11,5,32,7,6,31,6,3,6,13,5,4,214,105,4,200,143,81,47,2,473,40,49,48,51,46,36,19,7,206,503,66
Palm Beach ,3941,18,53,184,115,29,52,66,184,33,480,76,102,28,66,39,524,13,20,25,46,29,67,16,176,93,82,41,32,243,38,45,21,130,29,26,126,26,10,22,51,19,18,862,425,15,809,578,327,191,7,1911,161,197,196,204,187,147,77,29,833,2030,401
Pasco ,1431,6,19,67,42,11,19,24,67,12,174,28,37,10,24,14,190,5,7,9,17,11,24,6,64,34,30,15,12,88,14,17,8,47,11,9,46,9,4,8,19,7,7,313,154,5,294,210,119,69,3,694,58,71,71,74,68,53,28,11,302,737,166
